CodOrgSuperior;OrgSuperior;OrgSubordinado;UnidadeGestora;Data;Favorecido;Valor
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;5. BATALHAO DE SUPRIMENTO;27/06/2017;E. TRAMONTINA E C. TRAMONTINA HOTEL E RESTAURANTE LTDA - ME;65
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;4 BATALHAO LOGISTICO;31/10/2017;CRACCO PARK HOTEL LTDA - EPP [CRACCO PARK HOTEL];60
52000;MINISTERIO DA DEFESA;FUNDO DO EXERCITO;COMANDO 5 REGIAO MILITAR/5 DIVISAO  EXERCITO;14/11/2017;GCS ADMINISTRACAO DE HOTEIS LTDA - ME;56
22000;MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO;COMPANHIA NACIONAL DE ABASTECIMENTO;CONAB SEDE SUREG MATO GROSSO;24/04/2017;MULTIBAR COMERCIO DE PRODUTOS PARA HOTEIS E RESTAURANTES LTDA - EPP [MULTIBAR];51.82
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;4 BATALHAO LOGISTICO;09/11/2017;STOP BAR RESENDE LTDA - ME [RESTAURANTE E POUSADA OVOMALTINE];48
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;2 BATALHAO DE ENGENHARIA DE CONSTRUCAO;02/07/2017;PAULO G DA S S NUNES - ME [RESTAURANTE E POUSADA SERRA AZUL];44
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;18 BATALHAO DE TRANSPORTE;09/06/2017;R C LIRA DE C ALMEIDA - ME [RESTAURANTE, LANCHONETE E HOTEL CASAGRANDE];44
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;ACADEMIA MILITAR DAS AGULHAS NEGRAS;22/05/2017;PANTERAO 57 HOTEL RESTAURANTE E COMERCIO DE CARNES LTDA - EPP;43.3
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;17A BASE LOGISTICA;21/02/2017;NOVO HOTEL E RESTAURAN;41.76
20000;PRESIDENCIA DA REPUBLICA;ADVOCACIA-GERAL DA UNIAO - AGU;SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO;12/05/2017;MV COMERCIO DE PRODUTOS PARA HOTEIS E RESTAURANTES LTDA - ME [MULTIBAR];40
25000;MINISTERIO DA FAZENDA;RECEITA FEDERAL DO BRASIL;DELEGACIA DA RFB EM BAURU;09/02/2017;REI DA HOTELARIA COMERCIO DE REFRIGERACAO LTDA - ME [REI DA HOTELARIA];40
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;4 BATALHAO LOGISTICO;17/11/2017;CRACCO PARK HOTEL LTDA - EPP [CRACCO PARK HOTEL];40
