CodOrgSuperior;OrgSuperior;OrgSubordinado;UnidadeGestora;Data;Favorecido;Valor
26000;MINISTERIO DA EDUCACAO;UNIVERSIDADE FEDERAL DE LAVRAS;UNIVERSIDADE FEDERAL DE LAVRAS;06/02/2017;SUPERMERCADOS REX LTDA;317.56
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;55 BATALHAO DE INFANTARIA;24/11/2017;PALADAR ALIMENTOS;317.22
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO PARANA;20/09/2017;SUPERMERCADO SUPERPAO LTDA;316.76
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;24 BATALHAO DE INFANTARIA LEVE;01/07/2017;J. DE A. CUNHA SOUSA - EPP [CUNHA SUPERMERCADO];316.75
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;BASE ADMINISTRATIVA DO C COM G EX;24/08/2017;CARREFOUR COMERCIO E INDUSTRIA LTDA;316.52
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO RIO GRANDE DO SUL;23/10/2017;SUPER MERCADO RISPOLI LTDA;316.42
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;CENTRO DE INSTRU�AO DE OPERA�OES ESPECIAIS;10/10/2017;SUPERMERCADO SALVIERI LTDA [SUPERMAX];315.85
26000;MINISTERIO DA EDUCACAO;INST.FED.DE EDUC.,CIENC.E TEC.DO RS;INST.FED.DO RS/CAMPUS PORTO ALEGRE;30/11/2017;SHOPPING DAS PADARIAS LTDA;315.4
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NA PARAIBA;31/05/2017;SENDAS DISTRIBUIDORA S/A;315.19
25000;MINISTERIO DA FAZENDA;RECEITA FEDERAL DO BRASIL;DELEGACIA DA RFB EM ITABUNA;04/10/2017;R A CARVALHO COMERCIO E LANCHONETE - ME [CAFE COM PAO CONVENIENCIA E LANCHONETE];315
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;54 BATALHAO DE INFANTARIA DE SELVA;25/11/2017;MOURA & STOFEL LTDA - ME [RESTAURANTE E LANCHONETE PARANA];315
26000;MINISTERIO DA EDUCACAO;INST.FED.DE EDUC.,CIENC.E TEC.CATARINENSE;IF CATARINENSE - CAMPUS CAMBORIU;23/06/2017;SUPERMERCADOS IRMAOS UNIDOS LTDA. [SUPERMERCADOS SCHMIT];314.7
